review,clean_review,rating,date,year_month
한국인이라면 꼭 읽어봐야 하는 책,한국인 라면 꼭 읽어 봐야 책,4,2024-08-05,2024-08
여러분 오늘을 기억하셔야 합니다. 우리가 이 이야기를 잊었을 때 어떤 일이 반복될 수 있는지 오늘 우린 그 무서운 가능성을 봤습니다. 잊지 말아주세요.,여러분 오늘 기억 하셔야 . 이야기 잊었을 때 어떤 일이 반복 될 있는지 오늘 우린 무서운 가능성 봤습니다 . 잊지 말아주세요 .,4,2024-12-04,2024-12
2024년 12월 3일 이후로 또 다른 의미를 갖게 된 책. 더욱 더 많은 사람들이 읽었으면 좋겠다.,2024년 12월 3일 이후 다른 의미 갖게 된 책 . 많은 사람 읽었으면 좋겠다 .,4,2024-12-04,2024-12
한 강 작가님 덕분에 다시 한 번 그 분들께 감사하는 마음과 역사를 잊어서는 안 된다는 생각을 깊이 새기게 되었습니다.,강 작가 님 덕분 번 분 께 감사하는 마음 역사 잊어서는 안 된다는 생각 깊이 새기게 되었습니다 .,4,2024-08-25,2024-08
이제 우리가 이끌어 나갑시다.,이제 이끌어 나갑시다 .,4,2024-06-12,2024-06
꼭 한번 읽어 보고싶은 책이었습니다.,꼭 한번 읽어 보고싶은 책 이었습니다 .,4,2024-10-13,2024-10
"문학상 수상 소식 듣고 바로 주문해서 오늘 받아서 읽고있네요.
챕터2...와... 작가님이 왜 수상을 했는지 알것 같네요.","문학상 수상 소식 듣고 바로 주문 오늘 받아서 읽고있네요 . 
 챕 터 2 작가 님 왜 수상 했는지 알것 같네요 .",4,2024-10-12,2024-10
작품 내용 넘 슬프지만 감동,작품 내용 넘 슬프지만 감동,4,2024-10-11,2024-10
노벨문학상 작품을 번역본이 아니 자국의 언어로 된 작품을 읽을 수 있다는 것이 신기방기 합니자.,노벨문학상 작품 번역본 아니 자국 언어 된 작품 읽을 있다는 신기 방기 합니자 .,4,2024-10-17,2024-10
첫문장부터 빠져들어요,첫 문장 부터 빠져들어요,4,2017-11-01,2017-11
재고 딸려서 재판 해야되면 그렇다 메세지를 주든가....지금 들어와보니 어쩌고 멘트 위에 써있네....장난 똥때리나 하....,재고 딸려서 재판 해야되 면 그렇다 메세지 주든가 .... 지금 들어와 보니 어쩌 고 멘트 위 써있네 .... 장난 똥 때리나 하 ....,1,2024-10-17,2024-10
"축하드리고 고맙고 고맙습니다.
노벨문학상 작품을
한글로 읽 수 있다는것에
감사드리고
광주의 아픔을 위로해 주심에 감사드리고
다시한번 축하합니다","축하 드리고 고맙고 고맙습니다 . 
 노벨문학상 작품 
 한글 읽 있다는것에 
 감사 드리고 
 광주 아픔 위로 해 주심 감사 드리고 
 한번 축하",4,2024-10-15,2024-10
"한강 작가에게, 1980년의 광주에게 큰 빚을 졌습니다. 부디 나도 그 빚을 갚을 수 있는 용기를 낼 수 있기를.","한강 작가 , 1980년 광주 큰 빚 졌습니다 . 부디 나도 빚 갚을 있는 용기 낼 있기를 .",4,2024-12-05,2024-12
읽기가 마음이 좀 힘들지만 흡입력이 굉장하네요,읽기가 마음 힘들지만 흡입 력 굉장하네요,4,2024-10-15,2024-10
다시는 이 땅에 이런 비극이 일어나지 않기를.,다시는 땅 이런 비극 일어나지 않기를 .,4,2024-10-14,2024-10
"첫장 넘기기가 두려웠지만 한번에 쓱 다 읽혔습니다.
동호야...그날 저녁 계속 마음에 메아리쳤어요.","첫 장 넘 기기 두려웠지만 한번 쓱 읽혔습니다 . 
 동호 야 그날 저녁 마음 메아리 쳤어요 .",4,2024-11-22,2024-11
서점에 딱 한권 남아있는 거 집어 왔습니다. 뭔가 러키비키구나 싶어 기분 좋았습니다 ㅎㅎ장마다 화자가 달라서 다 읽고 나서 다시 첫장을 읽어보니 처음 읽을때와 느낌이 다르네요. 소년이 저에게로도 온 거 같아요,서점 딱 권 남아있는 집어 왔습니다 . 뭔가 러키 비키구나 싶어 기분 좋았습니다 장마 화 자 달라 서 읽고 나서 첫 장 읽어 보니 처음 읽을 때 느낌 다르네요 . 소년 온 같아요,4,2024-10-16,2024-10
노벨상에 가장 큰 공헌을 한 작품이라고 생각합니다,노벨상 가장 큰 공헌 작품 이라고 생각,4,2024-10-15,2024-10
읽어보고 싶은 도서라 구입했어요.,읽어 보고 싶은 도서 라 구입 했어요 .,4,2024-10-15,2024-10
"80년 5월의 광주.
그 참상과 트라우마.
이 역사를 모독하는 자들에게 저주를","80년 5월 광주 . 
 참상 트라우마 . 
 역사 모독 자 저주",4,2025-03-22,2025-03
광주에게 참 많은 빚을 졌습니다 우리가,광주 참 많은 빚 졌습니다,4,2025-01-02,2025-01
너무 슬프고 현 시국에서 많은 생각을 하게 하는 책입니다,슬프고 현 시국 많은 생각 책,4,2024-12-29,2024-12
"죽은자가 산자를 살릴수 있는가?
네, 남태령의 기적을 보았습니다. 소년은 응원봉을 든 수많은 소녀들이 되어 다시 나타났습니다.
추운 밤, 수많은 별들이 남태령에 내려와 반짝였습니다.","죽은 자가 산자 살릴수 있는가 ? 
 네 , 남태령 기적 보았습니다 . 소년 응원봉 든 수많은 소녀 되어 나타났습니다 . 
 추운 밤 , 수많은 별 남태령 내려와 반짝였습니다 .",4,2024-12-24,2024-12
2024 년 말미의 어이없는 사건으로 더 집중해서 2 독하게 됩니다. 역사속 안타까운 희생자들을 애도하는 마음 모아모아 탄!핵!,2024 년 말미 어이없는 사건 집중 2 독하게 됩니다 . 역사 속 안타까운 희생 자 애도 마음 모 아모 아 탄 ! 핵 !,4,2024-12-24,2024-12
깊은 울림과 함께 역사적 아픔을 다시금 되새기게 만든다.,깊은 울림 함께 역사 적 아픔 다시금 되새기게 만든다 .,4,2024-12-10,2024-12
오열하면서 읽음........,오열 읽음 ........,4,2024-12-03,2024-12
"언제부턴가 518관련 작품들은 고통스러워 피하곤 했는데, 의무감으로 구매하였네요. 역사의 희생자분들과 작가님께 감사드립니다.","언제 부턴 518 관련 작품 고통스러워 피하곤 했는데 , 의무감 구매 하였네요 . 역사 희생 자 분들 작가 님 께 감사 드립니다 .",4,2024-12-03,2024-12
노벨문학상 수상을 진심으로 축하합니다.,노벨문학상 수상 진심 축하 .,4,2024-10-13,2024-10
한강 작가 노벨문학상 수상축하합니다.,한강 작가 노벨문학상 수상 축하 .,4,2024-10-12,2024-10
받으면 잘 볼게요 노벨문학상 축하드립니다,받으면 볼게요 노벨문학상 축하 드립니다,4,2024-10-11,2024-10
10주년 특별판 좋아요,10 주년 특별판 좋아요,4,2024-08-17,2024-08
왠지 읽어보고 싶은 책이라서 구입했는데 꼭 읽어봐야되는 책이 됐어요!,왠지 읽어 보고 싶은 책 이라서 구입 했는데 꼭 읽어 봐야 되는 책 됐어요 !,4,2017-10-23,2017-10
공포물이 아님에도 공포를 느낄 수 있다는 것이 너무 슬픕니다. 우리나라의 아픈 과거를 간접적이지만 충분히 알 수 있게 해준 훌륭한 책입니다.,공포물 아님에도 공포 느낄 있다는 슬픕니다 . 우리나라 아픈 과거 간접 적 이지만 충분히 알 있게 해준 훌륭한 책 .,4,2025-07-14,2025-07
한강 작가 소설은 처음 읽어봅니다. 쉽게 읽지는 못했지만 여운이 남는 좋은 소설이었습니다.,한강 작가 소설 처음 읽어 봅니다 . 쉽게 읽지는 못 했지만 여운 남는 좋은 소설 이었습니다 .,4,2025-04-20,2025-04
힘든 시대에 맞서 싸워주신 분들 덕분에 세상을 살고 있네요,힘든 시대 맞서 싸워주신 분들 덕분 세상 살 고 있네요,4,2025-04-16,2025-04
노벨문학상을 수상하신 한강 작가님의 작품을 만나볼 수 있다니!,노벨문학상 수상하신 한강 작가 님 작품 나볼 있다니 !,4,2025-04-15,2025-04
"슬프지만, 기억해야 할 역사를 한강은 한자한자, 여백과 함께 이를 아름다움으로 그려낸다.","슬프지만 , 기억 해야 할 역사 한강 한자 한자 , 여백 함께 이를 아름다 움 그려 낸다 .",4,2025-04-13,2025-04
"역사는 지금도 흐릅니다.
그들은 불의했고 처벌 받았지만 아직도 용서를 구하지 않음에 분노가 치밀어 오릅니다.","역사 지금 흐릅니다 . 
 불의 했고 처벌 받았지만 아직도 용서 구 하지 않 음 분노 치밀어 오릅니다 .",4,2025-04-11,2025-04
우리의 정치인들이 ㅇ필독 도서이길 바랍니다,정치인 ㅇ 필독 도서 이길 바랍니다,4,2025-04-04,2025-04
중간에 멈출 수 없고 끝까지 읽게 돼요...,중간 멈출 없고 끝 읽게 돼요,4,2025-04-01,2025-04
꼭 봐야하는 책이라고 생각합니다.,꼭 봐 야하는 책 이라고 생각 .,4,2025-03-29,2025-03
시간 가는줄 모르고 보게 되네요....,시간 가는줄 모르고 보게 되네요 ....,4,2025-03-27,2025-03
정말 노벨상에 어울리는 작품같아요.,노벨상 어울리는 작품 같아요 .,4,2025-03-25,2025-03
모든분들이 뵈야하는 작품같아요.,모든 분들 뵈 야하는 작품 같아요 .,4,2025-03-25,2025-03
노벨 문학상 수상작을 원어로 읽을 수 있는 것은 큰 기쁨,노벨 문학상 수상작 원 어로 읽을 있는 큰 기쁨,4,2025-03-22,2025-03
갚이있는 생각을 하게해줍니다,갚이있는 생각 해줍니다,3,2025-03-21,2025-03
읽는것만으로도 체험하는듯한 고통,읽는것만으로도 체험 하는듯 고통,4,2025-03-19,2025-03
"읽는 내내 슬프고 화나고 먹먹했어요.
어떻게 얻은 민주주의인데 요즘 나라꼴이,,,
역사를 잊은 민족에게 미래는 없다는 말이 생각납니다.","읽는 내내 슬프고 화나고 먹 먹 했어요 . 
 어떻게 얻은 민주주의 인데 나라 꼴 ,,, 
 역사 잊은 민족 미래 없다는 말 생각납니다 .",4,2025-03-18,2025-03
"고마워요. 한강 작가님.
그날의 기분들이 와닿아 깊게 슬프지만,
그들의 슬픔을 조금이나마 이해하며
위로의 마음을 전할수 있게 된것에 감사합니다.","고마워요 . 한강 작가 님 . 
 그날 기분 닿아 깊게 슬프지만 , 
 슬픔 조금 이나마 이해 
 위로 마음 전 할수 있게 된것에 감사합니다 .",4,2025-03-17,2025-03
이야기 풀어나가는 방식이 독특해서 정말 좋아요. 읽을 때마다 눈물이 나네요ㅠ,이야기 풀어 나가는 방식 독특해서 좋아요 . 읽을 때 마다 눈물 나네요 ㅠ,4,2025-03-14,2025-03
정말 눈물 펑펑이에요... 앞으로도 영원히 기억되어야 할 내용입니다,눈물 펑펑 이에요 앞 으로도 영원히 기억 되어야 할 내용,4,2025-03-10,2025-03
처절한 518의 현장을 생생하게 담아 있어 한자한자 힘겹게 읽었어요. 아이에게도 읽히려구요. 한강작가 응원합니다.,처절한 518 현장 생생하게 담아 있어 한자 한자 힘겹게 읽었어요 . 아이 에게도 읽히려 구 요 . 한강 작가 응원 .,4,2025-03-09,2025-03
잘 읽었습니다 감사합니다,읽었습니다 감사합니다,4,2025-03-08,2025-03
노벨상 수상 작가의 책을 원문으로 읽을 수 있어서 영광입니다.,노벨상 수상 작가 책 원문 읽을 있어서 영광 .,4,2025-03-06,2025-03
이런 시국에 띡 읽어야겠네요!,이런 시국 띡 읽어야겠네요 !,4,2024-12-12,2024-12
내인생 첫 선물한책,내 인생 첫 선물 책,4,2024-12-10,2024-12
배송은 느렸지만 한강작가님 책을 접할 수 있어서 좋았습니다.,배송 느렸지만 한강 작가 님 책 접 할 있어서 좋았습니다 .,4,2024-12-03,2024-12
뉴스에서 제대로 보도되지 않은 당시의 광주를 생각해 본다,뉴스 제대로 보도 되지 않은 당시 광주 생각 해 본다,4,2024-11-06,2024-11
"한강 작가의 책으로 처음 접한것은 소년이 온다입니다
잊지 않아야 할 아픈 역사를 이렇게 다룬 것에 의미가 있고 노벨문학상 작품을 읽게 해주다니 기쁩니다","한강 작가 책 처음 접 소년 온다 
 잊지 않아야 할 아픈 역사 이렇게 다룬 의미 있고 노벨문학상 작품 읽게 해주다니 기쁩니다",4,2024-11-06,2024-11
2주만에 도착했네요 기다리는 시간들이 즐거웠습니다 나에게 새로운 책들은 소중한 선물입니다,2 주 만에 도착 했네요 기다리는 시간 즐거웠습니다 나 새로운 책 소중한 선물,4,2024-10-26,2024-10
아픈추억이지만 잊지말고 기억해야할것들…,아픈 추억 이지만 잊지말고 기억 해야 할것,4,2024-10-26,2024-10
오랜시간 기다렸다 받아서 그런지 더 아껴 읽고 싶어집니다.,오랜 시간 기다렸다 받아서 그런지 아껴 읽고 싶어 집니다 .,4,2024-10-26,2024-10
학창시절 역사 과목 수업 시간에 몇 장의 흑백 사진과 설명을 대충 듣긴 하였으나 소설로 집필해주셔서 우리나라 아픈 역사를 바로 알게 되어서 고맙습니다.,학창시절 역사 과목 수업 시간 몇 장의 흑백 사진 설명 대충 듣긴 하였으나 소설 집필 해주셔서 우리나라 아픈 역사 바로 알 게 되어서 고맙습니다 .,4,2024-10-26,2024-10
노벨 문학상 수상 축하드립니다,노벨 문학상 수상 축하 드립니다,4,2024-10-18,2024-10
진작 읽어볼걸 하는 마음이네요,진작 읽어 볼걸 마음 이네 요,4,2024-10-18,2024-10
이 책을 이제야 보네요. 노벨상 축하드립니다.,책 이제야 보네요 . 노벨상 축하 드립니다 .,4,2024-10-18,2024-10
배송지연 2번 만에 받은거 같습니다. 영광이고 축하드리고 감사합니다.,배송 지연 2 번 만에 받은거 같습니다 . 영광 이고 축하 드리고 감사합니다 .,4,2024-10-17,2024-10
슬픔과 아픔에 다가가는 표현이 아름다운 게 역설,슬픔 아픔 다가가는 표현 아름다운 게 역설,4,2024-10-17,2024-10
한강 작가님 축하드립니다.소장용입니다.,한강 작가 님 축하 드립니다 . 소 장용 .,4,2024-10-15,2024-10
"앗 요걸 놓쳤네요 볼려구했던작품이였는데
한강작가님 진심축하드려요","앗 요 걸 놓쳤네요 볼려 구 했던 작품 였는데 
 한강 작가 님 진심 축하 드려요",4,2024-10-14,2024-10
글을 써주어서 고마운 작가. 건강하시기를 바랍니다.,글 써주어서 고마운 작가 . 건강하시 기를 바랍니다 .,4,2024-10-13,2024-10
축하드립니다. 그리고 아픈 이들을 안아주셔서 감사합니다.,축하 드립니다 . 아픈 안아주셔서 감사합니다 .,4,2024-10-12,2024-10
"노벨문학상 수상을 축하드려요
마주하기 힘들고 겁나는 역사의 일부분을 느낀다는것은 참 힘든거겠지만 이번 기회에 용기내서 보려고합니다.","노벨문학상 수상 축하 드려요 
 마주 힘들고 겁나는 역사 일부분 느낀다는것은 참 힘든거겠지만 이번 기회 용기내서 보려고 .",4,2024-10-12,2024-10
묵직한 여운이 오랜시간 느껴졌었던 책으로 조카한테 선물로 보내줬네욤~^^,묵직한 여운 오랜 시간 느껴졌었던 책 조카 한테 선물 보 내줬 네 욤 ~^^,4,2024-09-04,2024-09
너무나 유명한 책 이제 읽어봅니다,너무나 유명한 책 이제 읽어 봅니다,4,2024-08-22,2024-08
참혹했던 그 시절 읽으면서 마음이 아팠어요,참혹했던 시절 읽으면서 마음 아팠어요,4,2024-08-22,2024-08
"처음에 나온 책을 읽고 ,이번엔 아이에게 선물합니다.","처음 나온 책 읽고 , 이번 엔 아이 선물 .",4,2024-07-31,2024-07
읽는 내내 마음 한켠이 무거웠어요,읽는 내내 마음 켠이 무거웠어요,4,2025-07-20,2025-07
"한강 작품이어서 한번 읽어보려고요
노벨상 받으신분의 책을 있는 그대로 한글로 읽다니 영광이죠","한강 작품 이어서 한번 읽어 보려고요 
 노벨상 받으 신분 책 있는 그대로 한글 읽다니 영광 죠",4,2025-07-19,2025-07
가성비가심비최고에요,가성 비 가심 비 최고 에요,4,2025-07-19,2025-07
소장용으로 다시 구입했습니다.,소 장용 구입 했습니다 .,4,2025-07-18,2025-07
"베스트셀러라 구매해봤어요
잘읽어보께요","베스트셀러 라 구매 해봤어요 
 읽어 보께요",4,2025-07-17,2025-07
"잊어서는 안 될 역사의 한 페이지를 강렬하게 기억하게
만드는 책","잊어서는 안 될 역사 페이지 강렬하게 기억 
 만드는 책",4,2025-07-17,2025-07
꼭 읽어보고 싶었던 책입니다❤,꼭 읽어 보고 싶었던 책,4,2025-07-16,2025-07
아버지께 사드린 책인데 공감이 많이 된다고 하시네요.,아버지 께 사드 린 책 인데 공감 된다고 하시네요 .,4,2025-07-15,2025-07
미루고 미루다가 구매했는데 진작 구매하고 더 일찍 볼 걸 그랬음,미루고 미루다가 구매 했는데 진작 구매 일찍 볼 걸 그랬음,4,2025-07-15,2025-07
명작입니다. 너무 좋아요~!,명작 . 좋아요 ~!,4,2025-07-14,2025-07
반드시 읽어야 할 책! 절대 부정할 수 없는 5.18.민주화운동 과정에서 국가가 권력을 유지하기 위해 살인을 저지른 사건이라...,반드시 읽어야 할 책 ! 절대 부정 할 없는 5.18 . 민주화 운동 과정 국가 권력 유지 위해 살인 저지른 사건 이라,4,2025-07-14,2025-07
책을 읽고나서 너무 충격이라 회사직원들에게 사주고 있습니다. 꼭 읽어보라고~,책 읽고나서 충격 이라 회사 직원 사주고 . 꼭 읽어 보라 고 ~,4,2025-07-14,2025-07
역사를 알고 읽는 것이라 마음이 무겁습니다.,역사 알 고 읽는 이라 마음 무겁습니다 .,4,2025-07-14,2025-07
내용이 재미있어서 한번에 다 읽었어요.,내용 재미있어서 한번 읽었어요 .,4,2025-07-13,2025-07
읽으면서 너무 슬프고 화나서 힘들었어요...,읽으면서 슬프고 화나서 힘들었어요,4,2025-07-13,2025-07
외국사는 가족에게 선물,외국 사는 가족 선물,4,2025-07-12,2025-07
읽으면서 중간중간 마음이 너무 아파 몇번이고 책을 덮고 열기를 반복했습니다,읽으면서 중간 중간 마음 아파 몇번 이고 책 덮고 열기 반복 했습니다,4,2025-07-11,2025-07
업무가 있어 제대로 읽고있지는 않지만 기대되는 한강 작가의 소설이네요.,업무 있어 제대로 읽고있지는 않지만 기대 되는 한강 작가 소설 이네 요 .,4,2025-07-10,2025-07
초등 6학년 아이에게 광주 민주화 운동의 슬픔을 알려주고 싶어 구매했습니다.,초등 6 학년 아이 광주 민주화 운동 슬픔 알려주고 싶어 구매 했습니다 .,4,2025-07-08,2025-07
한강의 노벨문학상에 가장 큰 영향을 준 작품인 것 같다,한강 노벨문학상 가장 큰 영향 준 작품 인 같다,4,2025-07-07,2025-07
그 시절 얘기를 몰입감있게 잘 푼 것 같습니다,시절 얘기 몰입 감있게 푼 같습니다,4,2025-07-06,2025-07
광주 5.18에 대해 자세하게 알 수 있어서 좋았고 뜻 깊은 내용이였어요,광주 5.18 대해 자세하게 알 있어서 좋았고 뜻 깊은 내 용이 였어요,4,2025-07-05,2025-07
역시 한강이네요!!!,역시 한강 이네 요 !!!,4,2025-07-03,2025-07
이 시대의 필독서. 문장마다 고통이 스미는 듯했지만 그래도 반드시 완독해야 하는 책입니다.,시대 필독 서 . 문장 마다 고통 스미는 듯 했지만 그래도 반드시 완독 해야 책 .,4,2025-07-03,2025-07
화나고 슬프고 괴롭다,화나고 슬프고 괴롭다,4,2025-07-02,2025-07
안타까운 현실을 공감하며 읽었어요,안타까운 현실 공감 읽었어요,2,2025-06-30,2025-06
예전에 읽을때 저는 그닥 감동이 없었어요. 내용도 기억안나고. 개인적으로 책 별론데 하는 맘이었기에ㅠ ㅠ 다들 극찬하니 다시 읽고 확인해야겠다 싶어서 샀습니다,예전 읽을 때 그닥 감동 없었어요 . 내용 기 억 안나 고 . 개인 적 책 별 론데 맘 이었기에 ㅠ ㅠ 극찬 하니 읽고 확인 해야겠다 싶어서 샀습니다,4,2025-06-29,2025-06
518 민주화운동을 보는 기분이에요.,518 민주화 운동 보는 기분 이에요 .,4,2025-06-29,2025-06
잘 읽겠습니다. 감사합니다.,읽겠습니다 . 감사합니다 .,4,2025-06-28,2025-06
"5.18을 책으로 읽는건 처음 입니다.
너무 슬퍼요
다신 일어나지 말아야 할 일입니다.
한강 작가님께 감사드려요","5.18 책 읽는건 처음 . 
 슬퍼요 
 다신 일어나지 말아야 할 일 . 
 한강 작가 님 께 감사 드려요",4,2025-06-27,2025-06
누구나 알아야할 진실,누구 나 알 아 야할 진실,4,2025-06-26,2025-06
"작가님의 다른 책은 읽었는데…
이제야 찾네요","작가 님 다른 책 읽었는데 
 이제야 찾네요",4,2025-06-25,2025-06
역시 노벨상ㅠㅠㅠㅠㅠㅠ,역시 노벨상 ㅠㅠㅠㅠㅠㅠ,4,2025-06-25,2025-06
"5.18 광주민주화운동의 참상을 통해 인간의 존엄성과 폭력,그리고 폭력에 대한 저항정신을 문학적으로 재현한 작품으로 많은 것을 느끼게 하는 작품이었습니다.","5.18 광주 민주화 운동 참상 통해 인간 존엄성 폭력 , 폭력 대한 저항 정신 문학 적 재현 작품 많은 느끼게 작품 이었습니다 .",4,2025-06-24,2025-06
담담하게 쓰여져 더욱 가슴 아픈 작품,담담하게 쓰여져 가슴 아픈 작품,4,2025-06-23,2025-06
한강님 소설 드디어 읽네요 ㅎ 기대됩니다^^,한강 님 소설 드디어 읽네요 ㅎ 기대 됩니다 ^^,4,2025-06-18,2025-06
많은 생각을 하고 많이 느끼게 해주는 책입니다.,많은 생각 느끼게 해주는 책 .,4,2025-06-18,2025-06
색다른 시점부터 인상적이에요~,색다른 시점 부터 인상 적 이에요 ~,4,2025-06-18,2025-06
한강 작가님 소설 하나씩 소장해보려고 합니다.,한강 작가 님 소설 하나 씩 소장 해보려고 .,4,2025-06-15,2025-06
ㅠㅜ엉엉 울었답니다,ㅠㅜ 엉엉 울었답니다,4,2025-06-15,2025-06
한강작가님 역시나 최고입니다,한강 작가 님 역시 나 최고,4,2025-06-14,2025-06
드디어 읽어보네요 ㅎ 넘 좋습니다^^,드디어 읽어 보네요 ㅎ 넘 좋습니다 ^^,4,2025-06-13,2025-06
읽은 후에 마음이 먹먹해지는 책,읽은 후 마음 먹 먹 해지 책,4,2025-06-12,2025-06
엄마 선물해 드렸는데 좋아하세요.,엄마 선물 해 드렸는데 좋아하세요 .,4,2025-06-11,2025-06
"아버지하테 선물로 드렸어요, 좋아하시네요","아버지 하 테 선물 드렸어요 , 좋아하시네요",4,2025-06-10,2025-06
"많은 페이지가
아닌데 한장한장 넘기기가 힘들었어요","많은 페이지 
 아닌데 한장 한장 넘 기기 힘들었어요",4,2025-06-09,2025-06
좋아요. 최고에요,좋아요 . 최고 에요,4,2025-06-08,2025-06
"너무 슬플까봐, 마음이 힘들까봐 쉽사리 읽어내지는 못하고 있습니다. 한강선생님 다른 작품 작별하지 않는다도 좋아기에 기대해봅니다.","슬플까봐 , 마음 힘들까봐 쉽사리 읽어내지는 못 . 한강 선생님 다른 작품 작별 하지 않는다도 좋아기에 기대 해봅니다 .",4,2025-06-08,2025-06
문장 표현도 좋고 글이 차분히 잘 읽히면서도 속상한 마음 마지막에 너무 슬펐다,문장 표현 좋고 글 차분히 읽히면서도 속상한 마음 마지막 슬펐다,3,2025-06-07,2025-06
"읽는 내내 마음이 너무 무거웠습니다.
정말 천천히 아끼면서 읽었어요...
5.18 광주 민주화운동 감사하고 감사합니다.","읽는 내내 마음 무거웠습니다 . 
 천천히 아끼면서 읽었어요 
 5.18 광주 민주화 운동 감사하고 감사합니다 .",4,2025-06-07,2025-06
처음부터 눈물이 멈추지 않았디ㅡ,처음 부터 눈물 멈추지 않았디 ㅡ,4,2025-06-05,2025-06
재미있고 유익합니다. 추천합니다!,재미있고 유익합니다 . 추천 !,4,2025-06-05,2025-06
5월에 읽기 좋은 작품입니다. 518을 겪지 못한 세대를 위한 책. 지루하지 않아요,5월 읽기 좋은 작품 . 518 겪지 못 세대 위 책 . 지루하지 않아요,4,2025-06-04,2025-06
재미있고 유익한 책입니다. 추천합니다.,재미있고 유익한 책 . 추천 .,4,2025-06-04,2025-06
영상을 보고 있는 듯한 글이 너무나 충격적이였어요,영상 보고 있는 듯 글 너무나 충격 적이였어요,4,2025-06-04,2025-06
역사에 감사함을 많이 느끼게 되네요,역사 감사함을 느끼게 되네요,4,2025-06-01,2025-06
잘받았습니다. 선물로 줄거예요.,받았습니다 . 선물 줄거예요 .,4,2025-06-01,2025-06
아이가 읽어보고 싶다고 해서 사서 같이보려고합니당,아이 읽어 보고 싶다고 사서 보려 고합 니당,4,2025-05-31,2025-05
재밌고 유익합니다. 추천합니다!,재밌고 유익합니다 . 추천 !,4,2025-05-30,2025-05
소년이온다소년이운다,소년 온다 소년 운다,3,2025-05-30,2025-05
친구에게 선물했습니다.,친구 선물 했습니다 .,4,2025-05-29,2025-05
워낙 유명한 책이라,워낙 유명한 책 이라,4,2025-05-28,2025-05
아직 못읽었습니다. 유명한책이르 구매.,아직 못 읽었습니다 . 유명한 책 이르 구매 .,4,2025-05-28,2025-05
노벨문학상 수상자의 필력이란!,노벨문학상 수상자 필 력 이란 !,4,2025-05-28,2025-05
좋은책입니다. 감사합니다.,좋은 책 . 감사합니다 .,4,2025-05-28,2025-05
